Timestamp (ms),Difficulty,Performance,Channel 1,Channel 2,Channel 3,Channel 4
1492736153601,0,0,-2.0413552724549504,2.963400370787056,-1.6240329891160812,-0.4004214024214363
1492736153601,0,0,11.230211310116196,0.09846696182215453,-3.350095863457966,1.858091729260039
1492736153601,0,0,13.323015529841598,-2.514670110728005,-4.955262952657314,4.562671394815705
1492736153601,0,0,-0.08172115610909003,-2.5640867385905963,-1.9956687819817063,4.121498120451946
1492736153602,0,0,-5.749104663698418,-2.706858076792223,2.5770154758536847,3.801922836354091
1492736153664,0,0,8.252617869800691,-4.5515568342285775,2.6286978012209445,7.961486034349441
1492736153664,0,0,22.802060895947342,-4.053044482111588,-1.7131289799857115,13.734477735963516
1492736153664,0,0,19.722264755157227,1.4157986491599743,-4.728403117079139,14.8631179505892
1492736153665,0,0,9.396721050739103,6.710576132793069,-3.900581466439739,11.129926292845276
1492736153665,0,0,8.834747304683965,6.178548796926442,-2.6618368280411744,7.804337123231775
1492736153665,0,0,11.306986699636816,2.246071349056038,-4.001870569313645,6.628738145013223
1492736153665,0,0,2.005086968667065,0.8169031899240196,-5.858074775351817,4.164619602589916
1492736153665,0,0,-10.891617481689067,2.3835371138757893,-5.184587582093194,-0.088477729600271
1492736153666,0,0,-9.950322179733803,3.152300662355369,-3.217577797764747,-2.0474122877643453
1492736153666,0,0,-2.0714925573593845,2.0736286146831873,-3.1055219117545434,-1.4342680715476632
1492736153666,0,0,-7.305278023134406,1.6821473702494387,-4.627571015832949,-3.2087387157944747
1492736153666,0,0,-21.31197084416589,2.929922493313434,-5.06373813463631,-7.840480889123668
1492736153691,0,0,-20.47901983101947,3.4953055740287233,-3.363459891411864,-8.633910891701937
1492736153691,0,0,-3.185234497765194,2.11940040402105,-0.6191761451023012,-4.058636839006155
1492736153691,0,0,4.714865127161261,0.9331572856173977,1.250814221629355,-3.5387961532986267
1492736153692,0,0,-7.775637099845049,1.5660658887787022,0.6711989813796677,-11.89236834914589
1492736153692,0,0,-17.507130724652818,2.494205409063646,-1.2307357473375973,-18.844977657173054
1492736153692,0,0,-5.2103821656252975,2.4976951467072794,-0.9155162913021471,-14.563253133129955
1492736153692,0,0,12.641892163154314,3.199875349535482,2.9807293630871214,-3.978553531597278
1492736153692,0,0,12.295667265888959,5.522631580682809,7.049472532515292,2.9774692748298044
1492736153693,0,0,1.756912963985691,6.792697326305401,6.708769631369741,5.282092394287936
1492736153693,0,0,2.871863823568251,4.634597811791913,2.152197022838756,7.781543530972435
1492736153693,0,0,11.540458281993722,1.442857121947327,-1.3403962837339094,10.613317647767275
